text_id,annotators_id,text,initial_paragraph,topic,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit
1-1007,"['10', '18']","Pendeta Hindu India ini ingin ke Israel untuk memerangi Hamas, idenya kok familiar?",,Jewish,"['1', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1008,"['10', '18']",skb 2 menteri menjerat warga Indonesia yg beragama kristen buddha hindu kepercayaan sunda wiwitan kaharingan marapu aluk to dolo dll yg masih banyak sekali,,Kristen,"['1', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1009,"['10', '18']","Bisa bisanya aing masuk ke ruangan bos ngucapin 'Assalamualaikum ' trus dijawab salamnyaa wkwk Dia nonis, china hindu Kristen udahannya kita ketawa gegara salam wkwkwk",,"Kristen, Tionghoa","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-101,"['7', '15']","Apakah kita harus di pimpin oleh orang yg,wakilnya cacat hukum,cacat moral dan presidenya yg cacat",,Disabilitas,"['0', '0']","['1', '1']","['1', '0']","['0', '0']","['0', '0']","['0', '0']","['1', '0']","['0', '0']","['0', '0']"
1-1010,"['10', '18']","when my dad said pidato bung karno salah, “Kalau jadi hindu jangan jadi orang India, kalau jadi orang islam jangan jadi orang Arab, kalau kristen jangan jadi orang yahudi, tetaplah jadi orang nusantara dengan adat-budaya nusantara yang kaya raya ini” orang kristen bukan yahudi😅",,"Kristen, Jewish","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1011,"['10', '18']","Orano Tionghoa yang gak nonton Masterchef Indonesia: OWE DIEM AJA DARITADI! Dalam Sejarah, Tionghoa adalah salah satu etnis di dunia yang paling heterogen. Ada orang Hokkien, Hakka, Tiociu, Kanton, Hinghua, dan lain sebagainya.

Ada yang mendukung Kuomintang, ada yang mendukung Gongchangdang, dan ada yang tradisional banget, juga ada yang modern banget, ada yang Kristen, Buddha, Tao, Konghucu, ateis pun ada.

Termasuk ada yang menonton Masterchef dan ada juga yang tidak tahu Masterchef itu apa sebenarnya, termasuk saya, saya gak ngikut.",,"Kristen, Tionghoa","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1012,"['10', '18']","‎'‎כוד WR/HZ PM srae Netanyahu Perintahkan Pemimpin Arab untuk Diam Jika Negaranya Ingin Aman inilahcom‎'‎ Memasuki hari ke-38 agresi Israel ke Palestina, tampaknya PM Israel Benyamin Netanyahu tak berniat untuk gencatan senjata. Ia pun menolak seruan dari internasional untuk gencatan senjata di Gaza.

Setelah mengadakan pertemuan di Riyadh, Arab Saudi, para pemimpin Arab dan negara Islam dunia sepakat untuk menyerukan Israel melakukan gencatan senjata. 

Merespon hal itu, Netanyahu mengancam para pemimpin negara Arab untuk diam dan tidak ikut campur. Dia mengatakan, pasukan Israel akan terus melanjutkan pertempuran di Gaza.

""Saya katakan kepada pemimpin Arab, jika Anda ingin melindungi kepentingan Anda, maka Anda harus melakukan satu hal: diam!"" tegas Netanyahu dalam konferensi pers bersama Menhan Israel, Yoav Gallant dan pemimpin oposisi Israe, Benny Gantz, dikutip Hindustan Times, Senin (13/11/2023). 

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahViral #viral #perdanamenteri #PM #Israel #benjaminnetanyahu #netanyahu #palestine #palestina #gaza #arabsaudi #saudiarabia #inilahcom #titiktengah #titikcerah",,Jewish,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1013,"['10', '18']","CNBC INDONESIA McDonald's 5 Cabang McDonald's Dunia yang Bantah Sokong Tentara Israel Sejumlah cabang restoran cepat saji McDonald's di beberapa negara memberikan klarifikasi terkait kiriman makanan dan dukungan terhadap Israel.

Melansir dari Hindustan Times, McDonald's cabang Lebanon, Oman, Uni Emirat Arab (UAE), Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak terlibat dalam pengiriman makanan untuk Israel Defense Forces (IDF) atau Pasukan Pertahanan Israel.

""McDonald's Lebanon menegaskan bahwa pemegang waralaba (franchise) di negara dan wilayah lain tidak mewakili pandangan atau posisi McDonald's Lebanon dengan cara apa pun,"" tulis McDonald's Lebanon dalam pernyataannya, dikutip Rabu (18/10/2023).

""McDonald's Lebanon tidak terlibat apa pun dalam tindakan yang diambil di pasar lain di luar Lebanon. Kami berkomitmen untuk bangsa kita dan rakyatnya dengan penuh rasa hormat dan solidaritas,"" lanjut pernyataan tersebut.

Sementara itu, McDonald's cabang Oman, UAE, Turkiye, dan Kuwait menegaskan bahwa pihaknya tidak ikut campur dalam pemberian makanan kepada IDF dan berada di pihak dukungan kepada Palestina.

Melalui pernyataan resmi, McDonald's Oman menuturkan bahwa pihaknya telah menyumbangkan US$100 ribu atau sekitar Rp1,57 miliar (asumsi kurs Rp15.742/US$) sebagai bantuan kepada masyarakat Gaza, Palestina.

#palestina",,Jewish,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1014,"['10', '18']",Video Wanita Muslim Memaksa Wanita Hindu untuk Memakai Burqa di Bus Umum India,"""Wanita Islam melecehkan seorang wanita Hindu karena berani naik bus di Kerala tanpa penutup syariah. Umat Muslim yang marah di situ meminta dia mengenakan burqa.

Umat Muslim tidak ingin umat Hindu naik transportasi umum tanpa mematuhi tuntutan Syariah mereka – Allahu Akbar!

Patroli Syariah menjadi semakin lazim di India dan Eropa. Perempuan dan semua non-Muslim yang berperilaku atau berpakaian tidak sesuai dengan hukum Islam dilecehkan dan diserang.

Sementara itu, umat Islam di seluruh India sibuk berpura-pura / merengek bahwa mereka menjadi korban umat Hindu…”.",UNKNOWN,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1015,"['10', '18']",Pesan Berantai “RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN”,"NARASI: “JAGA² SAJA,JIKA DOKTER² MAU SUNTIK KITA, KELUARGA KITA ATAU TETANGGA DENGAN ALASAN MAU PENCEGAHAN VAKSIN ATAU ANTI VIRUS,ADA INDIKASI RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER DR CHINA TIONGKOK DISELUNDUPKAN DIPELABUHAN-PELABUHAN..RAKYAT INDONESIA KUDU BERHATI-HATI JIKA PEMERINTAH MEMBERIKAN KEBIJAKAN2 WAJIB TOLAK MENTAH2 KARENA INI ADA RENCANA PEMBUNUHAN MASSAL UNTUK WARGA PRIBUMI..MEREKA TAU JIKA ANIES SAMPAI NAIK JADI PRESIDEN MAKA PROYEK-PROYEK MEREKA CHINA TIONGKOK AKAN BANGKRUT!!WASPADALAH INI DOKTER-DOKTER PESANAN DR TIONGKOK SENGAJA UNTUK MEMBANTAI RAKYAT INDONESIA SECARA PERLAHAN-LAHAN..DR PIHAK RT..RW ..LURAH..CAMAT..WALIKOTA WAJIB MENOLAKNYA DEMI NYAWA ANAK-ANAK BANGSA..REZIM JOKOWI LICIK MENGHALALKAN BERMACAM CARA UNTUK MEMULUSKAN PROYEK2 OBOR MILIK CHINA TIONGKOK!!. SEJAK ENGKOH JOKO WIE MENGUASAI R1, RS PEMERINTAH SDH MULAI BYK DIISI DOKTER2 CINA, TERUTAMA DI RSCM, ADA KAH KORELASINYA DGN MENDTGKAN LSG DOKTER2 KOMUNIS CINA RRCTOOOLOOONG DI VIRALKAN”.",Tionghoa,"['0', '0']","['1', '0']","['1', '1']","['1', '1']","['0', '0']","['0', '0']","['1', '0']","['0', '1']","['0', '0']"
1-1016,"['10', '18']",Video “Tentara Cina Komunis Tiongkok Masuk Indonesia”,"Akun Facebook Imho Walleye (fb.com/100018182814077) pada 27 Oktober 2023 mengunggah sebuah video dengan narasi “Apakah ini memang benar di bandara indonesia ?? Ada yg tau video aslinya kah ?”

Di video tersebut juga terdapat narasi:

“SAMPAI SEKARANG BELUM ADA SEORANG PEJABAT INDONESIA YANG BISA MENJELAS SIAPA ORANG-ORANG INI DAN UNTUK APA MEREKA DI DATANGKAN KE NKRI SERAGAMNYA JELAS PERLENGKAPANNYA JELAS TERLIHAT” dan “APAKAH VIDEO INI BENAR ??? BAGAIMANA BISA TENTARA TIONGKOK BISA MASUK INDONESIA DAN UNTUK APA TENTARA CINA KOMUNIS MASUK INDONESIA ??? SIAPA YANG BETLRTANGGUNG JAWAB DAN YANG BISA MENJELASKAN INI KEPADA BANGSA INDONESIA ??? APAKAH PKI GAYA BARU AKAN BERSATU DENGAN TENTARA CINA KOMUNIS MEMBERONTAK NKRI”",Tionghoa,"['0', '0']","['0', '0']","['1', '1']","['1', '1']","['0', '0']","['0', '0']","['1', '0']","['0', '1']","['0', '0']"
1-1017,"['10', '18']",PDIP Usul ke Pemerintah Agar Tutup Pesantren di Seluruh Indonesia,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim PDIP usul ke Pemerintah agar menutup pesantren di seluruh Indonesia, informasi tersebut diunggag salah satu akun Facebook, pada 3 Oktober 2023.
Unggahan klaim PDIP usul ke Pemerintah agar menutup pesantren di seluruh Indonesia berupa video yang terdiri dari tangkapan layar yang menampilkan Ketua Umum PDIP Megawati Soekarno Putri sedang mengenakan baju merah dan memegang alat pengeras suara, dibawah foto tersebut terdapat tulisan sebagai berikut.
""PDIP USUL KE PEMERINTAH AGAR PESANTREN DI TUTUP SELURUH INDONESIA"".
Selain itu juga terdapat seorang sedang berbicara seputar PKI, berikut cuplikan transkripnya.
""Indonesia di era penajajahan China, hari telah menjadi pengatur berbagai urusan Indonesia ini udah nggak ada Bapak ibu-ibu jangan tenang-tenang saja negara kita Sudah digadaikan ke Cina gerakan komunis yang di motor oleh Cina yang berkolaborasi dengan PKI di Indonesia hari ini PKI sudah jadi raja di mana tempat ada yang jadi presiden ada yang jadi anggota DPR RI ada yang jadi Walikota ada yang jadi Bupati ada yang jadi pimpinan Pesantren biar tahu saja""
Video tersebut juga menampilkan foto Presiden Joko Widodo beserta istri dan Presiden China Xi Jinping beserta istri.
Unggahan tersebut diberi keterangan sebagai berikut.
""Benar bangat kata Ustadz ini""
Benarkah klaim PDIP usul ke Pemerintah agar menutup pesantren di seluruh Indonesia? Simak penelusuran Cek Fakta Liputan6.com.",UNKNOWN,"['0', '0']","['0', '1']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1018,"['10', '18']",Wasit Hentikan Pertandingan karena Kasihan dengan Timnas China Taipei,“WASIT MENGHENTIKAN LAGA KARENA TIDAK INGIN CHINA TAIPEI LEBIH DIPERMALUKAN”,Tionghoa,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1019,"['10', '18']",“di Morowali sejumlah TKA China menghakimi Penduduk Pribumi”,"NARASI: “*saya mendapatkan sebuah Video Viral tentang situasi di Kabuparen Morowali Provinsi Sulawesi Tengah adanya sejumlah TKA China (Tiongkok) yang sudah berani menghakimi Penduduk Pribumi hingga parah. Tolong POLRI untuk segera bergerak mengecek Keaslian Video ini, @ListyoSigitP”.",Tionghoa,"['1', '0']","['0', '0']","['0', '1']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-102,"['7', '15']","PEMBELOKAN SEJARAH SECARA SISTIMATIS DILAKUKAN IMIGRAN YAMAN, CARA INGIN MELUMPUHKAN SUATU BANGSA HANCURKAN SEJARAHNYA BIAR GENERASI MENDATANG BUTA AKAN SEJARAH",,"Rohingya, Disabilitas","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1020,"['10', '18']",Jokowi Bebaskan Pajak Selama 120 Tahun untuk WNA yang Tinggal di IKN,"” Rezim Jokowi Menganggap Mereka seperti Teroris Sedangkan Mereka Mempertahankan Tempat tinggal Mereka, Jokowi Memberikan Hak Kepada Orang Asing Terutama Cina Tiongkok Komunis Tinggal di IkN 120 Tahun Tanpa Pajak”",UNKNOWN,"['0', '0']","['0', '0']","['1', '1']","['1', '1']","['0', '0']","['0', '0']","['1', '0']","['1', '1']","['0', '0']"
1-1021,"['10', '18']",GAMBAR GANJAR PRANOWO BERSALAMAN DENGAN PRESIDEN TIONGKOK,"“BERSIAPLAH INDONESIA AKAN DI MISKINKAN TERNYATA ADA SKENARIO INI ANTARA GANJAR, JOKOWI DAN KOMUNIS CINA
Alamat jadi kacung lagi nih… hingga tega merendahkan bangsanya sendiri.
Yakin cawapres ini jika jika jadi presiden bisa membawa NKRI menjadi negara yang beraulat dan bermartabat..?!!!?”",UNKNOWN,"['0', '0']","['1', '1']","['1', '1']","['1', '1']","['0', '1']","['0', '0']","['1', '0']","['0', '0']","['0', '0']"
1-1022,"['10', '18']",Video Adanya Beras Palsu Asal China Beredar di Indonesia,"Liputan6.com, Jakarta - Beredar di media sosial video pesan berantai yang menyebut adanya peredaran beras palsu asal China di Indonesia. Postingan itu beredar sejak tengah pekan ini.
Salah satu akun ada yang mengunggahnya di Facebook. Akun itu mempostingnya pada 31 Agustus 2023.
Berikut isi postingannya:
""WARNING...!!! WOW..., TERNYATA PRODUKSI BERAS SINTETIS/BERAS PALSU/BERAS PLASTIC ASAL RRC CINA KOMUNIS SUDAH MULAI DI DISTRIBUSIKAN KE SELURUH WILAYAH INDONESIA..., INI TERULANG KEMBALI TERJADI KARENA TARGETNYA MAU MEMBUNUH MASSAL PERLAHAN, TAPI PASTI' SELURUH RAKYAT INDONESIA DENGAN CARA GENOSIDA PADA BAHAN-² MAKANAN POKOK KEBUTUHAN SEHARI-HARI KITA RAKYAT INDONESIA* WASPADA...!!! BILA MASIH ADA DIDALAM HATI &amp; DIRI ANDA JIWA' PATRIOTISME CINTAI NKRI/ JIHAD FISABILILLAAH VIRALKAN VIDEO INI KE SELURUH PELOSOK NEGERI...""
Postingan itu disertai video seorang TNI sedang mempertanyakan keaslian beras di sebuah warung makan.
Lalu benarkah video pesan berantai yang menyebut adanya peredaran beras palsu asal China di Indonesia?",Tionghoa,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1023,"['10', '18']",Para Pemuda Tiongkok RRC Akan Membanjiri Posisi ASN di Indonesia,"“PARA PEMUDA CINA AKAN MEMBANJIRI PEGAWAI NEGERI, TNI DAN POLRI … ANAK CUCU PRIBUMI INDONESIA SIAP – SIAP BERSAING DENGAN PARA PEMUDA CINA … EKSODUS BESAR – BESARAN RAKYAT CINA RRC MASUK KE INDONESIA AKAN BERDAMPAK BERTAMBAHNYA POPULASI ETNIS CINA DI INDONESIA… PERTAMBAHAN ETNIS CINA DI INDONESIA BUKAN CUMA FAKTOR BIOLOGIS CINA LOKAL TAPI MEREKA JUGA MENAMBAH POPULASI DENGAN CARA IMPORT SESAMA CINA DARI DARATAN CINA RRC,.. KALO JUMLAH POPULASI ORANG ETNIS CINA INDONESIA SETARA DENGAN JUMLAH POPULASI PRIBUMI INDONESIA, JANGAN HARAPKAN PRIBUMI DAPAT TEMPAT STRATEGIS DI LINI – LINI PEMERINTAHAN INDONESIA… DI MASA DEPAN NEGARA INI AKAN DI KELOLA OLEH PARA ETNIS CINA LOKAL DAN CINA – CINA RRC… SIAP – SIAP SAJA WAHAI PRIBUMI INDONESIA, NEGARA KITA DIAMBIL ALIH BANGSA LAIN… KARENA YANG DI PEMERINTAHAN INDONESIA, MENJUAL MURAH REPUBLIK INI… PELAN TAPI PASTI, SISTEMATIS, HALUS DAN SANGAT LEMBUT, NEGERI KITA AKAN DIAMBIL ALIH TANPA PEPERANGAN FRONTAL, TAPI DENGAN CARA MENGUASAI KONSTITUSI.",UNKNOWN,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1024,"['10', '18']",Prabowo bersama TNI Turun Tangan Bela Rakyat Rempang dan Usir Investor Cina,"WOW! PRABOWO, SBY & GATOT NURMANTYO BERSAMA TNI AKN PER4NG BELA RAKYAT USIR INVESTOR CINA DI REMPANG",Tionghoa,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1025,"['10', '18']",Dalam Foto Ini Pemuda China Jadi PNS di Indonesia,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim foto pemuda China jadi PNS di Indonesia, informasi tersebut diunggah salah satu akun Facebook, pada 20 Mei 2023.
Unggahan klaim foto pemuda China jadi PNS di Indonesia menampilkan seorang lelaki sedang mengenakan baju coklat terdapat lambang di lengan sebelah kiri dan dada sebelah kiri.
Foto tersebut diberi keterangan sebagai berikut.
""👆 *PARA PEMUDA CINA AKAN MEMBANJIRI PEGAWAI NEGERI, TNI DAN POLRI ...
ANAK CUCU PRIBUMI INDONESIA SIAP - SIAP BERSAING DENGAN PARA PEMUDA CINA ... EKSODUS BESAR - BESARAN RAKYAT CINA RRC MASUK KE INDONESIA AKAN BERDAMPAK BERTAMBAHNYA POPULASI ETNIS CINA DI INDONESIA...
PERTAMBAHAN ETNIS CINA DI INDONESIA BUKAN CUMA FAKTOR BIOLOGIS CINA LOKAL TAPI MEREKA JUGA MENAMBAH POPULASI DENGAN CARA IMPORT SESAMA CINA DARI DARATAN CINA RRC,..
KALO JUMLAH POPULASI ORANG ETNIS CINA INDONESIA SETARA DENGAN JUMLAH POPULASI PRIBUMI INDONESIA, JANGAN HARAPKAN PRIBUMI DAPAT TEMPAT STRATEGIS DI LINI - LINI PEMERINTAHAN INDONESIA...
DI MASA DEPAN NEGARA INI AKAN DI KELOLA OLEH PARA ETNIS CINA LOKAL DAN CINA - CINA RRC...
SIAP - SIAP SAJA WAHAI PRIBUMI INDONESIA, NEGARA KITA DIAMBIL ALIH BANGSA LAIN... KARENA YANG DI PEMERINTAHAN INDONESIA, MENJUAL MURAH REPUBLIK INI... PELAN TAPI PASTI, SISTEMATIS, HALUS DAN SANGAT LEMBUT, NEGERI KITA AKAN DIAMBIL ALIH TANPA PEPERANGAN FRONTAL, TAPI DENGAN CARA MENGUASAI KONSTITUSI.* ✊😡🇮🇩""
Benarkah klaim foto pemuda China jadi PNS di Indonesia? Simak penelusuran Cek Fakta Liputan6.com.",Tionghoa,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1026,"['10', '18']",Tank dan Pasukan Bersenjata Dalam Video Ini Situasi Pulau Rempang Siap Tempur,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim video situasi Pulau Rempang siap tempur, informasi tersebut diunggah salah satu akun Facebook, pada 19 September 2023.
Klaim video situasi Pulau Rempang tank dan pasukan bersenjata siap tempur menampilkan sejumlah orang mengenakan baju loreng hijau dan helm membawa senjata laras panjang berlari di antara bangunan dan diiringi dengan tank yang sedang berjalan serarah orang tersebut. Salah satu dari tank tersebut terdapat tulisan ""MARINIR"".
Dalam video tersebut juga terlihat baliho seorang wanita mengenakan baju puti kerudung merah dan seorang lelaki mengenakan jas berserta dasi dan mengenakan tutup kepala hitam.
Pada baliho tersebut terdapat tulisan yang terbaca ""Hj. EVA DWIANA"".
Dalam video tersebut terdapat tulisan sebagai berikut.
""REMPANG BERGOLAK
""SITUASI REMPANG SIAP TEMPUR TNI/POLRI VA RAKYATTNI/POLRI (Anjing peliharaan komunis)
VS
RAKYAT (yang mempertahankan hak mereka yg dirampok Pengusaha komunis)
JIHAAAAD SAUDARAKU...!!""
Video tersebut diberi keterangan sebagai berikut.
""Rempang bergejolak😢😢
Rempang menjadi harga mati untuk pemerintah walaupun Penduduk Melayu Asli Rempang menjadi korbannya..Apakah ini yg di bilang untuk Rakyat.? Presiden kini mulai blak blakan tentang kericuhan yg terjadi di Rempang.Beliau mengatakan sudah komunikasi, tapi sesungguhnya beliau sedang menindas habis habisan Masyarakat Rempang, tentu ada kaitannya dgn kemenangan salah Satu Paslon Capres dari partai yg sama.. mereka sengaja menarik investor dari cina Agar merai keuntungan besar dalam hal ini Agar bisa memuluskan figur mereka lolos menjadi presiden agar posisi mereka tetap Aman.😡""
Benarkah klaim video situasi Pulau Rempang tank dan pasukan bersenjata siap tempur? Simak penelusuran Cek Fakta Liputan6.com.",UNKNOWN,"['0', '0']","['0', '0']","['1', '1']","['1', '1']","['0', '0']","['0', '0']","['1', '1']","['0', '0']","['0', '0']"
1-1027,"['10', '18']",Nama Nama Negara yang pertamai kali mengakui kemerdekaan bangsa I Ko Negara china gk ada ya yang slalu mengaku ngaku atas menamakan jual pancasila dan slalu di korupsinya dangan dikuasa 9 naga dan para titisannya PKI Oligarki sampai saat ini😂😂😂,,Tionghoa,"['1', '0']","['0', '0']","['0', '1']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
1-1028,"['10', '18']",Maaf yaa druunn🙏 Presiden saya bukan keturunan China atau keturunan ngARAB (ganjar pranowo),,Tionghoa,"['0', '0']","['1', '1']","['1', '1']","['0', '1']","['0', '0']","['0', '0']","['0', '0']","['1', '1']","['0', '0']"
1-1029,"['10', '18']","""Selalu Dorong Toleransi dan Kerukunan, Ganjar Dihadiahi Songkok dari Muslim Tionghoa Surabaya. Baca Selengkapnya : """,,Tionghoa,"['0', '0']","['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-103,"['7', '15']","Cinta buta tidak memberikan anak nilai2 kebenaran, ia hanya mengupayakan tahta dan kekayaan",,Disabilitas,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1030,"['10', '18']","ANIES TUNAIKAN IBADAH HAJI Oleh: H. Agus M. Z. Yang perlu kita garis-bawahi dari pemberian panggung adalah makna atau sinyal positif. Yaitu, KSA – secara dini – seperti mengumumkan kepada dunia (truncated)",,UNKNOWN,"['1', '1']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']"
1-1031,"['10', '18']","Biar kadrun sadar kalau yg anti Islam itu bukan orang yg bermata sipit tapi orang yg identik dengan mata biru dan bule, ,,, negara isalm yg sudah hancur oleh sekutu Amerika Syiriah Irak Libya Palestina afganistan Lebanon semua hancur bukan karena China tapi Eropa ,,",,Tionghoa,"['0', '0']","['0', '0']","['0', '1']","['1', '1']","['0', '1']","['0', '0']","['0', '0']","['0', '1']","['0', '0']"
